Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2014-11-21,356.47,358.49,342.05,351.2,15248.88656337,5360658.5119759,351.54425798228
2014-11-20,379.04,381.8,351.8,356.47,16380.89470034,5954791.0152759,363.52049898424
2014-11-19,374.87,386.39,371.7,379.03,8984.9812234,3409337.0334477,379.44843163041
2014-11-18,388.72,394.64,371.0,374.88,15205.2559529,5772940.6850809,379.66744545197
2014-11-17,389.86,415.0,375.0,387.69,24309.43918879,9628351.6428398,396.07460986923
2014-11-16,376.97,395.0,375.0,389.86,9680.49225548,3730346.7852261,385.34680745335
2014-11-15,399.97,407.22,369.0,376.99,14428.76907096,5525789.7565902,382.97028176241
2014-11-14,417.85,420.3,382.95,399.98,21657.71043489,8618642.115747,397.94797985031
2014-11-13,426.64,453.92,381.55,420.93,49884.51198201,20957839.483851,420.1271827899
2014-11-12,370.09,434.8,369.85,426.63,44040.4020956,17871040.727952,405.78741059535
2014-11-11,366.43,371.52,360.28,370.65,7702.42181852,2822907.4604187,366.49608745541
2014-11-10,365.37,377.77,357.3,366.43,19273.07459974,7115956.1887006,369.21748794542
2014-11-09,346.19,366.35,343.4,364.77,10537.15947888,3748470.5459031,355.73823793939
2014-11-08,342.16,347.75,340.6,345.39,3771.0324892,1296519.1365407,343.81012103553
2014-11-07,349.99,352.15,340.4,342.16,7243.12542476,2499064.5761161,345.02572157225
2014-11-06,338.37,353.1,336.27,349.99,14288.79665307,4939529.9599342,345.69250860415
2014-11-05,329.96,344.17,328.8,338.38,15373.39989187,5203136.7731314,338.45062313658
2014-11-04,326.45,332.9,320.0,330.22,13703.07796895,4480851.9202641,326.99601727563
2014-11-03,324.23,333.99,322.74,325.5,11276.27248027,3708999.2452555,328.92068294245
2014-11-02,324.55,329.0,318.24,324.36,8335.4168615,2697712.8358453,323.64462157922
2014-11-01,337.99,339.47,316.61,324.7,14970.5578556,4891060.6170956,326.71198122828
